CustomerID,Cohort,Y2016Q1,Y2016Q2,Y2016Q3,Y2016Q4,Y2017Q1,Y2017Q2,Y2017Q3,Y2017Q4,Y2018Q1,Y2018Q2,Y2018Q3,Y2018Q4,Y2019Q1,Y2019Q2,Y2019Q3,Y2019Q4
1,pre_y2016,0,1.5,26.32,0,0,0,0,39.66,42.21,37.15,18.85,28.55,0,0,0,0
2,pre_y2016,0,30.03,11.01,13.54,0,0,0,0,26.68,14.78,0,29.51,0,0,0,0
3,pre_y2016,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0
4,pre_y2016,0,0,0,0,0,0,0,0,0,34.96,0,151.5,0,0,30.47,0
5,pre_y2016,40.39,0,0,46.15,27.75,0,0,0,0,0,0,0,0,0,0,0
6,pre_y2016,0,72.72,0,9.68,0,0,0,0,0,0,1.21,0,0,0,0,0
7,pre_y2016,0,0,0,19.15,38.09,0,56.1,0,0,0,0,0,0,0,0,0
8,pre_y2016,20.36,2.74,32.09,128.83,0,15.01,114.37,66.69,9.22,31.87,5.06,56.69,30.2,0,0,104.55
9,pre_y2016,46.96,0,70.98,58.94,0,24.32,0,0,58.19,21.19,29.59,0,21.74,8.78,0,3.39
10,pre_y2016,183.22,269.41,69.17,164.28,42.23,107.72,49.4,95.97,353.32,96.94,100.28,190.01,44.76,349.12,159.88,357.97
11,pre_y2016,0,0,0,0,40.75,0,0,66.96,0,156.56,0,20.14,0,48.63,0,0
12,pre_y2016,34.12,73.09,126.66,0,0,129.41,49.4,248.57,31.61,31.57,0,0,0,133.37,68.44,21.66
13,pre_y2016,0,0,0,179.19,0,0,0,0,0,0,0,0,0,0,0,0
14,pre_y2016,0,36.12,0,0,0,0,0,51.47,0,0,0,0,0,0,0,0
15,pre_y2016,0,0,0,12.14,0,0,0,0,0,0,0,0,0,0,0,0
16,pre_y2016,0,237.78,0,37.75,0,0,121.37,0,0,0,0,0,0,0,0,0
17,pre_y2016,0,0,0,58.22,0,15.25,0,0,0,0,0,0,0,0,0,0
18,pre_y2016,0,0,38.75,0,0,43.56,33.97,0,0,10.67,0,0,0,0,0,0
19,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0
20,pre_y2016,0,0,0,0,0,0,0,19.78,0,0,0,0,0,0,0,0
21,pre_y2016,0,0,0,0,0,0,0,0,0,0,44.23,0,0,0,0,0
22,pre_y2016,0,0,9.35,0,0,0,0,0,0,27.32,19.76,5.8,8.06,0,20.38,20.54
23,pre_y2016,0,0,0,0,78.2,0,0,0,0,0,0,0,0,0,0,0
24,pre_y2016,0,0,0,0,0,0,21.93,0,0,0,0,0,0,14.08,0,0
25,pre_y2016,112.31,0,101.31,124.65,0,0,0,0,0,0,0,0,0,0,0,0
26,pre_y2016,0,0,0,29.42,0,110.09,0,47.84,0,107.63,0,0,0,0,0,0
27,pre_y2016,257.84,0,-0.49,28.29,0,0,0,0,0,0,0,0,0,0,0,0
28,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.2
29,pre_y2016,0,0,0,0,0,0,0,0,12.84,0,0,0,0,0,0,0
30,pre_y2016,0,28.98,0,69.81,0,0,0,26.27,5.33,38.13,12.74,197.76,0,0,0,52.15
31,pre_y2016,0,77.86,0,15.14,0,0,0,0,0,0,0,0,0,0,0,0
32,pre_y2016,0,77.05,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0
33,pre_y2016,0,0,0,45.36,0,0,0,25.23,0,0,0,94.53,0,0,0,0
34,pre_y2016,9.31,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,pre_y2016,0,0,0,0,31.62,0,0,0,0,0,0,0,0,0,0,0
36,pre_y2016,0,0,3.73,16.3,0,6.06,0,4.6,0,31.27,16.59,0,0,-6.41,0,0
37,pre_y2016,0,0,0,0,0,0,0,0,0,0,110.62,21,0,0,0,0
38,pre_y2016,0,0,0,0,0,0,0,0,0,29.6,0,0,0,20.28,0,0
39,pre_y2016,0,0,47.46,0,0,42.56,0,0,0,0,0,0,0,0,0,0
40,pre_y2016,0,44.16,0,0,0,71.56,0,0,0,88.54,0,0,0,0,0,59.31
41,pre_y2016,0,0,0,14.26,0,0,0,13.11,0,0,0,0,0,0,0,0
42,pre_y2016,0,0,0,43.21,0,0,0,0,0,0,0,0,0,0,0,0
43,pre_y2016,0,0,0,0,32.74,0,0,0,0,0,0,0,0,0,0,0
44,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.15
45,pre_y2016,0,124.55,0,0,0,0,0,35.9,0,81.52,0,0,0,94.92,0,0
46,pre_y2016,73.53,0,0,0,0,0,68.08,0,0,0,0,0,58.29,0,0,0
47,pre_y2016,69.08,76.03,0,53.55,116.95,0,0,0,0,0,0,0,0,0,0,43.05
48,pre_y2016,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0
49,pre_y2016,0,0,126.73,0,0,0,0,0,0,0,0,0,0,0,0,0
50,pre_y2016,90.35,133.14,114.77,0,0,0,0,95.41,0,43.01,62.55,78.52,114.5,69.19,0,0
51,pre_y2016,0,0,0,0,0,0,0,32.84,0,0,0,0,0,0,0,0
52,pre_y2016,0,0,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0
53,pre_y2016,0,0,0,0,0,0,0,90.58,0,0,0,0,0,0,0,0
54,pre_y2016,0,0,22.34,65.28,0,11.25,0,8.38,0,0,9.75,5.94,0,0,0,0
55,pre_y2016,0,0,0,26.71,0,0,0,0,0,0,0,64.21,0,0,0,0
56,pre_y2016,39.49,0,47.81,0,0,0,0,0,0,0,0,31.89,0,0,35.55,0
57,pre_y2016,27.52,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0
58,pre_y2016,0,0,0,0,93.64,0,0,0,0,0,0,0,0,0,0,216.68
59,pre_y2016,0,0,333.89,0,0,0,0,0,0,0,0,0,0,0,0,0
60,pre_y2016,0,0,18.82,0,0,0,0,0,0,0,0,0,0,0,0,0
61,pre_y2016,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0
62,pre_y2016,108.01,0,0,29.09,0,0,0,0,53.31,0,0,0,0,0,0,0
63,pre_y2016,0,47.73,0,0,130.48,0,0,0,0,0,0,129.55,133.36,0,0,28.7
64,pre_y2016,0,0,0,153.7,0,0,0,0,0,0,0,0,0,0,0,0
65,pre_y2016,0,0,0,31.37,0,0,0,0,0,0,0,28.13,11.9,37.64,0,0
66,pre_y2016,0,0,0,89.04,0,0,0,0,0,0,0,0,0,0,0,0
67,pre_y2016,25.1,53.26,47.52,96.73,0,38.99,0,0,0,86.62,0,0,0,0,0,0
68,pre_y2016,0,0,0,0,0,0,0,17.86,0,0,0,0,0,12.48,0,58.51
69,pre_y2016,0,0,59.08,55.3,0,0,0,101.4,0,0,12.26,0,0,0,0,-1.26
70,pre_y2016,0,0,134.37,30.92,0,0,0,0,0,0,0,0,0,0,0,0
71,pre_y2016,0,0,0,0,40.87,0,0,0,0,0,0,0,0,0,0,3.78
