CustomerID,Cohort,Y2016Q1,Y2016Q2,Y2016Q3,Y2016Q4,Y2017Q1,Y2017Q2,Y2017Q3,Y2017Q4,Y2018Q1,Y2018Q2,Y2018Q3,Y2018Q4,Y2019Q1,Y2019Q2,Y2019Q3,Y2019Q4
1,pre_y2016,0,8.16,93.48,0,0,0,0,91.84,100.64,94.25,36.13,61.34,0,0,0,0
2,pre_y2016,0,76.48,23.99,32.39,0,0,0,0,56.12,31.99,0,61.51,0,0,0,0
3,pre_y2016,0,0,0,0,0,0,0,0,35.39,0,0,0,0,0,0,0
4,pre_y2016,0,0,0,0,0,0,0,0,0,107.93,0,320.34,0,0,58.78,0
5,pre_y2016,93.59,0,0,89.96,81.54,0,0,0,0,0,0,0,0,0,0,0
6,pre_y2016,0,129.56,0,18.35,0,0,0,0,0,0,24.6,0,0,0,0,0
7,pre_y2016,0,0,0,41.98,87.35,0,97.19,0,0,0,0,0,0,0,0,0
8,pre_y2016,41.98,6,55.8,239.04,0,36,234.96,127.8,22.5,101.27,14.99,107.49,53.96,0,0,186
9,pre_y2016,136.19,0,178.04,125.34,0,41.99,0,0,114.94,37.38,76.22,0,37.04,22.64,0,14.9
10,pre_y2016,470.89,503.93,163.16,351.55,87.58,180,88.2,214.85,739.75,193.19,176.12,433.2,86.38,663.94,337.53,690.39
11,pre_y2016,0,0,0,0,89.08,0,0,134.68,0,282,0,42,0,109.8,0,0
12,pre_y2016,101.77,130.39,299.35,0,0,259.97,89.8,617.17,54.44,66.47,0,0,0,291.79,130.52,55.99
13,pre_y2016,0,0,0,428.46,0,0,0,0,0,0,0,0,0,0,0,0
14,pre_y2016,0,71.99,0,0,0,0,0,113.4,0,0,0,0,0,0,0,0
15,pre_y2016,0,0,0,20.16,0,0,0,0,0,0,0,0,0,0,0,0
16,pre_y2016,0,395.06,0,67.2,0,0,217.56,0,0,0,0,0,0,0,0,0
17,pre_y2016,0,0,0,113.38,0,35.99,0,0,0,0,0,0,0,0,0,0
18,pre_y2016,0,0,74.4,0,0,71.99,58.8,0,0,24,0,0,0,0,0,0
19,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
20,pre_y2016,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
21,pre_y2016,0,0,0,0,0,0,0,0,0,0,75.6,0,0,0,0,0
22,pre_y2016,0,0,21.68,0,0,0,0,0,0,76.44,55.97,18.74,30.4,0,51.6,80.46
23,pre_y2016,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0
24,pre_y2016,0,0,0,0,0,0,89.95,0,0,0,0,0,0,48,0,0
25,pre_y2016,230.94,0,191.9,225.86,0,0,0,0,0,0,0,0,0,0,0,0
26,pre_y2016,0,0,0,54.6,0,196.56,0,93.6,0,196.8,0,0,0,0,0,0
27,pre_y2016,494.28,0,42.84,61.18,0,0,0,0,0,0,0,0,0,0,0,0
28,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.72
29,pre_y2016,0,0,0,0,0,0,0,0,23.98,0,0,0,0,0,0,0
30,pre_y2016,0,67.22,0,210.25,0,0,0,59.89,15.17,85.54,29.99,414.05,0,0,0,119.02
31,pre_y2016,0,130.5,0,28.79,0,0,0,0,0,0,0,0,0,0,0,0
32,pre_y2016,0,169.73,71.96,0,0,0,0,0,0,0,0,0,0,0,0,0
33,pre_y2016,0,0,0,82.58,0,0,0,51.18,0,0,0,201.52,0,0,0,0
34,pre_y2016,31.92,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,pre_y2016,0,0,0,0,58.8,0,0,0,0,0,0,0,0,0,0,0
36,pre_y2016,0,0,13.5,28.8,0,21.6,0,14.4,0,66.05,47.99,0,0,0,0,0
37,pre_y2016,0,0,0,0,0,0,0,0,0,0,220.9,48.28,0,0,0,0
38,pre_y2016,0,0,0,0,0,0,0,0,0,86.99,0,0,0,37.8,0,0
39,pre_y2016,0,0,75.6,0,0,78,0,0,0,0,0,0,0,0,0,0
40,pre_y2016,0,82.8,0,0,0,125.4,0,0,0,148.2,0,0,0,0,0,102
41,pre_y2016,0,0,0,29.99,0,0,0,29.99,0,0,0,0,0,0,0,0
42,pre_y2016,0,0,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0
43,pre_y2016,0,0,0,0,58.8,0,0,0,0,0,0,0,0,0,0,0
44,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.59
45,pre_y2016,0,234.25,0,0,0,0,0,73.19,0,155.98,0,0,0,195,0,0
46,pre_y2016,119.99,0,0,0,0,0,102,0,0,0,0,0,95.98,0,0,0
47,pre_y2016,115.18,135.56,0,106.27,180,0,0,0,0,0,0,0,0,0,0,71.4
48,pre_y2016,0,0,0,0,0,0,0,23.99,0,0,0,0,0,0,0,0
49,pre_y2016,0,0,206.1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,pre_y2016,142.8,215.96,184.5,0,0,0,0,144,0,79.2,100.8,150,193.2,105,0,0
51,pre_y2016,0,0,0,0,0,0,0,64.76,0,0,0,0,0,0,0,0
