CustomerID,Cohort,Y2016Q1,Y2016Q2,Y2016Q3,Y2016Q4,Y2017Q1,Y2017Q2,Y2017Q3,Y2017Q4,Y2018Q1,Y2018Q2,Y2018Q3,Y2018Q4,Y2019Q1,Y2019Q2,Y2019Q3,Y2019Q4
1,pre_y2016,0,1,2,0,0,0,0,2,2,2,1,1,0,0,0,0
2,pre_y2016,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0
3,pre_y2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,pre_y2016,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0
5,pre_y2016,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,pre_y2016,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,pre_y2016,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
8,pre_y2016,2,1,3,6,0,2,3,4,1,5,1,4,1,0,0,5
9,pre_y2016,1,0,2,3,0,1,0,0,1,1,1,0,1,1,0,1
10,pre_y2016,4,3,2,3,2,2,1,5,6,2,2,6,1,4,3,5
11,pre_y2016,0,0,0,0,1,0,0,3,0,2,0,1,0,1,0,0
12,pre_y2016,1,2,2,0,0,1,1,8,1,2,0,0,0,3,2,1
13,pre_y2016,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
14,pre_y2016,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,pre_y2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,pre_y2016,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0
17,pre_y2016,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
18,pre_y2016,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0
19,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,pre_y2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,pre_y2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,pre_y2016,0,0,1,0,0,0,0,0,0,1,2,1,1,0,2,3
23,pre_y2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,pre_y2016,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
25,pre_y2016,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,pre_y2016,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0
27,pre_y2016,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
29,pre_y2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,pre_y2016,0,1,0,3,0,0,0,2,1,2,1,7,0,0,0,3
31,pre_y2016,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,pre_y2016,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
33,pre_y2016,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
34,pre_y2016,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,pre_y2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,pre_y2016,0,0,1,2,0,2,0,1,0,2,2,0,0,1,0,0
37,pre_y2016,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
38,pre_y2016,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
39,pre_y2016,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
40,pre_y2016,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1
41,pre_y2016,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
42,pre_y2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,pre_y2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,pre_y2016,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0
46,pre_y2016,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,pre_y2016,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
48,pre_y2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,pre_y2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
