observation_date,EOCCUSQ176N
2000-04-01,102274
2000-07-01,102896
2000-10-01,103646
2001-01-01,103456
2001-04-01,103411
2001-07-01,104228
2001-10-01,104698
2002-01-01,104719
2002-04-01,105276
2002-07-01,105527
2002-10-01,105759
2003-01-01,105884
2003-04-01,105989
2003-07-01,106068
2003-10-01,106505
2004-01-01,106738
2004-04-01,107020
2004-07-01,107932
2004-10-01,108735
2005-01-01,108863
2005-04-01,109057
2005-07-01,109736
2005-10-01,110281
2006-01-01,110350
2006-04-01,110560
2006-07-01,110779
2006-10-01,111096
2007-01-01,110715
2007-04-01,111342
2007-07-01,111251
2007-10-01,111724
2008-01-01,111326
2008-04-01,111601
2008-07-01,111939
2008-10-01,111823
2009-01-01,111862
2009-04-01,112453
2009-07-01,112381
2009-10-01,112485
2010-01-01,112500
2010-04-01,112726
2010-07-01,112941
2010-10-01,113445
2011-01-01,113119
2011-04-01,113399
2011-07-01,113559
2011-10-01,114102
2012-01-01,114145
2012-04-01,114228
2012-07-01,114741
2012-10-01,115125
2013-01-01,114778
2013-04-01,115244
2013-07-01,115415
2013-10-01,115712
2014-01-01,115552
2014-04-01,115992
2014-07-01,116253
2014-10-01,117686
2015-01-01,117360
2015-04-01,117702
2015-07-01,117799
2015-10-01,118264
2016-01-01,118038
2016-04-01,118772
2016-07-01,119129
2016-10-01,119226
2017-01-01,119435
2017-04-01,119447
2017-07-01,119669
2017-10-01,120821
2018-01-01,120662
2018-04-01,121143
2018-07-01,121267
2018-10-01,122396
2019-01-01,122255
2019-04-01,122329
2019-07-01,122617
2019-10-01,123848
2020-01-01,124299
2020-04-01,126726
2020-07-01,126672
2020-10-01,125814
2021-01-01,125996
2021-04-01,126279
2021-07-01,127090
2021-10-01,127696
2022-01-01,127928
2022-04-01,128206
2022-07-01,128580
2022-10-01,129718
2023-01-01,129600
2023-04-01,130044
2023-07-01,130312
2023-10-01,131113
2024-01-01,130982
2024-04-01,131414
2024-07-01,132114
2024-10-01,132404
