Year,Q1,Q2,Q3,Q4
1965,56848,57459,57846,57850
1966,57676,58646,58925,58696
1967,58493,59143,60133,60133
1968,60451,60739,61196,61423
1969,61759,62141,62412,62730
1970,62830,63478,64018,64234
1971,64362,64913,65264,65786
1972,66595,67111,67300,66772
1973,68315,68450,69122,69509
1974,69714,70417,70799,71301
1975,71256,71606,72150,72687
1976,72958,73124,73589,73989
1977,74299,74387,74980,75470
1978,75932,76359,76739,77163
1979,77239,77937,78048,78505
1979r1,77452,78125,78232,78773
1980,79113,79431,79893,80115
1981,82355,82679,82883,83253
1982,83651,83564,83637,84073
1983,84097,84196,84597,85370
1984,85625,86091,86656,87012
1985,87071,87686,88211,88580
1986,88817,88943,89195,89625
1987,90027,90249,90624,91166
1988,91292,91889,92268,92321
1989,93041,93331,93611,93886
1989r2,93109,93470,93763,93613
1990,93713,94201,94596,94385
1991,94982,95198,95455,95376
1992,95984,96450,96426,96702
1993,97058,97270,98094,98487
1993r3,97051,97249,98088,98482
1994,97982,98270,98927,99593
1995,99772,99932,99874,100363
1996,100472,101082,101120,101264
1997,101702,102046,102433,102624
1998,103086,103521,103492,104035
1999,104461,104826,105140,105286
2000,105293,105296,105800,106493
2001,106794,106765,106847,107633
2002,108120,108380,108656,108999
2002r4,104421,104944,105157,105340
2003,105407,105475,105499,105858
2004,105870,106066,106870,107546
2005,107755,107850,108431,108888
2006,109289,109450,109629,109932
2007,109704,110341,110299,110878
2008,110824,111228,111730,111854
2009,111368,112119,111459,111711
2010,111850,112215,111914,112451
2011,112164,112473,113550,114086
2012,114122,114200,114695,115033
2013,114643,114677,114767,114964
2014,114706,115127,115310,116647
2015,116240,117286,117353,117775
2016,117508,118279,118596,118643
2017,118800,118899,119085,120185
2018,119978,121240,121354,122469
2019,122313,122453,122735,123952
2020,124391,126780,126703,125805
2021,125944,126155,126914,127430
2022,127574,127990,128307,129396
2023,129234,130100,130386,131206
2024,131092,131414,132114,132404
