Year,Q1,Q2,Q3,Q4
2000,,102274,102896,103646
2001,103456,103411,104228,104698
2002,104719,105276,105527,105759
2003,105884,105989,106068,106505
2004,106738,107020,107932,108735
2005,108863,109057,109736,110281
2006,110350,110560,110779,111096
2007,110715,111342,111251,111724
2008,111326,111601,111939,111823
2009,111862,112453,112381,112485
2010,112500,112726,112941,113445
2011,113119,113399,113559,114102
2012,114145,114228,114741,115125
2013,114778,115244,115415,115712
2014,115552,115992,116253,117686
2015,117360,117702,117799,118264
2016,118038,118772,119129,119226
2017,119435,119447,119669,120821
2018,120662,121143,121267,122396
2019,122255,122329,122617,123848
2020,124299,126726,126672,125814
2021,125996,126279,127090,127696
2022,127928,128206,128580,129718
2023,129600,130044,130312,131113
2024,130982,131414,132114,132404
