order_date,cust_id,net_sales,source
2018-02-16,cust16647,108.784,web
2018-03-28,cust17852,117,web
2018-09-27,cust17852,315.9,web
2019-03-08,cust17852,159.25,web
2016-05-18,cust588,298.35,web
2016-06-15,cust588,117,web
2016-12-05,cust588,107.77,web
2016-12-12,cust4293,117,web
2016-12-12,cust4293,117,web
2018-12-15,cust4293,187.2,web
2019-01-11,cust4293,0,other
2018-04-20,cust18625,204.048,store
2019-01-25,cust18625,234,web
2018-09-22,cust26546,117,store
2018-09-07,cust25728,210.6,store
2018-09-14,cust25728,117,store
2018-10-17,cust25728,105.3,store
2018-11-21,cust25728,0,store
2018-11-29,cust25728,93.6,store
2019-01-04,cust25728,101.4,store
2019-03-14,cust25728,93.6,store
2018-11-19,cust29292,126.464,web
2018-12-03,cust29292,117,web
2018-12-03,cust29292,0,other
2017-04-13,cust6709,198.9,web
2018-04-24,cust6709,0,other
2018-05-22,cust6709,0,other
2016-11-30,cust3788,234,web
2016-12-20,cust3788,314.847,web
2018-12-21,cust3788,222.417,web
2019-01-08,cust3788,0,other
2018-04-11,cust18281,133.51,web
2018-04-13,cust18281,372.06,web
2018-06-11,cust18281,147.29,web
2018-08-23,cust18281,334.854,web
2018-09-24,cust18281,0,other
2018-12-08,cust18281,112.099,web
2018-12-31,cust18281,634.569,store
2018-09-10,cust25910,274.04,web
2018-04-06,cust18110,98.15,web
2019-01-24,cust33885,0,web
2019-02-01,cust33885,9.75,web
2018-09-05,cust25602,0,web
2018-09-14,cust25602,133.185,web
2018-09-16,cust25602,9.568,web
2017-08-09,cust9498,205.4,web
2018-07-01,cust22190,182,store
2018-07-11,cust22190,0,other
2018-03-12,cust17411,298.35,web
2018-04-04,cust17411,315.9,web
2018-08-07,cust17411,273,web
2018-12-17,cust17411,198.9,web
2018-07-08,cust22484,210.6,web
2018-08-23,cust22484,584.493,web
2018-12-06,cust30663,106.6,web
2016-07-06,cust1074,127.283,web
2017-05-31,cust7764,176.8,web
2018-06-18,cust21604,247,web
2017-11-20,cust12349,176.8,web
2017-11-26,cust12349,276.393,web
2017-11-30,cust12349,243.906,web
2018-01-22,cust12349,401.037,web
2018-12-27,cust32838,517.569,web
2017-12-07,cust13586,124.02,web
2018-04-20,cust18626,161.824,web
2018-04-27,cust18626,487.5,web
2016-11-09,cust3190,124.748,web
2016-11-23,cust3190,234,web
2017-02-23,cust3190,125.32,web
2017-03-27,cust3190,125.32,web
2017-07-09,cust3190,117,web
2018-12-25,cust32755,119.457,web
2018-11-20,cust29338,450.957,store
2016-12-14,cust4412,105.3,web
2017-06-22,cust8367,0,web
2016-02-10,cust157,120.25,web
2016-12-23,cust157,138.32,web
2017-05-30,cust7726,146.523,web
2017-12-15,cust7726,140.283,web
2017-11-25,cust12641,529.282,store
2017-11-26,cust12641,0,other
2018-06-16,cust12641,393.25,store
2019-02-07,cust12641,159.25,web
2018-12-01,cust30218,77.857,web
2017-04-01,cust6435,127.283,web
2017-05-28,cust6435,98.15,web
2017-12-26,cust6435,234,web
2018-03-08,cust6435,234,web
2019-03-02,cust6435,351,web
2016-12-13,cust4346,47.32,web
2016-12-14,cust4346,125.32,web
2016-12-16,cust4537,125.32,web
2019-01-02,cust33071,116.103,web
2017-08-07,cust9446,117,web
2017-12-31,cust15418,425.425,web
2018-12-19,cust32295,698.152,store
2019-01-19,cust33688,170.17,web
2019-02-02,cust33688,287.82,web
2019-02-10,cust33688,210.6,web
2019-02-16,cust33688,497.25,web
2019-02-18,cust33688,0,other
2019-03-08,cust33688,180.18,web
2019-03-13,cust33688,0,other
2017-08-05,cust9416,117,web
2018-04-25,cust9416,107.25,web
2018-11-16,cust29137,108.407,web
2019-03-18,cust29137,48.75,web
2018-12-06,cust30664,158.99,web
2017-09-10,cust10306,117,web
2017-09-25,cust10306,127.283,web
2017-10-09,cust10306,234,web
2018-06-23,cust10306,234,web
2018-06-29,cust10306,126.75,web
2018-11-29,cust10306,126.75,web
2018-11-01,cust28460,248.04,store
2019-03-07,cust28460,353.847,store
2016-12-15,cust4481,124.02,store
2018-06-13,cust21368,247,web
2016-09-30,cust2323,125.32,web
2018-01-18,cust15898,140.283,web
2018-05-04,cust15898,0,other
2018-05-22,cust15898,276.25,web
2018-06-05,cust20978,117,web
2018-04-03,cust18014,0,web
2018-04-28,cust18014,334.854,web
2018-12-01,cust30219,125.957,web
2019-01-15,cust33504,228.085,web
2018-04-12,cust18310,205.4,web
2017-12-28,cust15292,154.726,web
2019-01-27,cust33993,351,store
2017-07-31,cust9224,117,web
2019-02-01,cust34182,115.037,web
2018-08-27,cust25074,97.474,web
2018-09-13,cust25074,202.8,web
2018-09-22,cust25074,282.074,web
2018-04-17,cust18523,108.784,web
2018-04-27,cust18523,0,other
2018-04-29,cust18523,0,other
2018-05-22,cust18523,0,other
2017-04-11,cust6658,127.283,web
2017-07-22,cust6658,230.386,web
2016-11-17,cust3315,0,web
2017-12-15,cust14306,130,store
2017-05-07,cust7198,207.233,web
2016-11-29,cust3721,139.75,web
2016-12-18,cust3721,65,web
2017-05-25,cust3721,214.5,web
2017-06-06,cust3721,0,other
2017-12-01,cust3721,450.45,web
2017-12-09,cust3721,93.6,web
2018-09-13,cust3721,117,web
2018-11-27,cust3721,214.5,web
2018-12-06,cust3721,117,web
2019-02-11,cust34571,82.251,web
2019-02-25,cust34571,82.706,web
2016-11-01,cust3016,209.95,web
2016-11-28,cust3016,118.599,web
2018-09-29,cust26876,222.3,store
2017-05-21,cust7524,234,web
2017-10-29,cust11588,322.4,web
2017-12-15,cust11588,0,other
2018-05-31,cust11588,0,other
2018-06-01,cust11588,176.8,web
2017-06-26,cust8449,0,web
2016-08-11,cust1595,125.32,web
2017-04-26,cust1595,234,web
2017-08-20,cust9728,0,web
2018-02-26,cust16940,0,other
2018-05-03,cust16940,341.744,web
2017-12-02,cust13178,351,web
2016-12-17,cust4597,142.233,web
2018-01-21,cust4597,234,web
2017-07-26,cust9098,97.019,web
2016-09-24,cust2216,125.32,web
2016-12-20,cust2216,125.32,web
2017-05-22,cust2216,126.75,web
2017-05-24,cust2216,0,other
2018-01-04,cust2216,110.019,web
2018-12-09,cust2216,131.001,web
2019-01-14,cust33469,257.985,web
2018-05-27,cust20374,255.06,store
2018-12-19,cust20374,540.8,web
2019-03-07,cust20374,60.45,web
2016-04-27,cust488,134.355,web
2018-05-18,cust20010,93.704,web
2016-11-18,cust3351,496.08,store
2018-08-01,cust23689,245.674,web
2018-11-19,cust29293,65,store
2016-09-05,cust1927,234,web
2016-09-08,cust1927,585,web
2017-09-14,cust1927,322.4,web
2017-09-18,cust1927,125.619,web
2017-10-18,cust1927,500.5,web
2018-01-25,cust1927,111.15,web
2018-02-01,cust1927,0,other
2018-05-30,cust1927,234,web
2018-12-27,cust1927,0,other
2018-12-12,cust31422,109.2,web
2016-08-15,cust1643,484.38,web
2017-09-06,cust10187,234,web
2018-06-22,cust10187,126.75,web
2018-01-04,cust15519,425.425,web
2018-01-15,cust15519,0,other
2017-03-19,cust6175,234,web
2016-06-12,cust797,234,web
2018-09-28,cust26825,126.269,web
2018-04-20,cust18627,126.334,web
2016-12-10,cust4153,210.6,web
2017-08-18,cust4153,210.6,web
2016-09-11,cust2013,334.854,web
2017-06-16,cust2013,102.427,web
2017-08-29,cust2013,468.52,web
2017-09-30,cust2013,485.42,web
2017-11-18,cust2013,132.743,web
2018-04-02,cust2013,187.408,web
2018-09-06,cust2013,361.036,web
2018-07-05,cust22357,247.455,store
2018-10-10,cust27445,129.012,store
2016-11-06,cust3122,125.32,web
2017-04-09,cust3122,234,web
2017-04-24,cust3122,125.619,web
2017-11-22,cust3122,234,web
2018-12-05,cust30555,125.827,web
2016-10-26,cust2914,234,web
2016-11-01,cust2914,351,web
2017-11-28,cust2914,234,web
2017-04-20,cust6821,351,web
2018-06-05,cust20979,9.139,web
2018-07-03,cust20979,0,other
2017-07-20,cust8955,139.75,other
2017-08-03,cust8955,126.75,web
2018-12-18,cust32172,114.569,web
2019-01-08,cust33294,351,web
2016-10-15,cust2686,0,web
2018-12-01,cust30220,130,web
2018-10-08,cust27341,208,web
2018-07-03,cust22298,98.15,web
2018-10-29,cust28340,351.39,web
2018-11-17,cust28340,292.5,web
2018-08-15,cust24420,117,web
2018-09-10,cust24420,201.24,web
2018-11-15,cust24420,0,other
2018-01-17,cust15872,98.15,web
2018-01-29,cust15872,234,web
2018-08-19,cust15872,189.93,web
2018-01-23,cust16008,126.685,web
2018-01-28,cust16008,129.519,web
2019-02-09,cust16008,139.438,web
2018-07-19,cust23077,9.75,web
2017-12-03,cust13268,117,web
2017-12-08,cust13268,315.9,web
2017-12-20,cust13268,0,other
2018-04-04,cust18049,234,web
2018-10-03,cust18049,285.09,web
2019-03-10,cust35676,126.737,web
2018-12-09,cust31023,114.374,web
2018-12-15,cust31023,234,web
2019-02-23,cust31023,221,web
2018-12-11,cust31276,307.684,web
2017-12-13,cust14124,116.207,web
2018-01-14,cust14124,0,other
2018-01-31,cust16210,117,web
2018-02-22,cust16210,0,other
2017-08-22,cust9773,344.682,web
2018-08-10,cust24152,247.455,store
2017-11-16,cust12161,117,web
2017-11-24,cust12161,117,web
2018-03-01,cust12161,107.25,web
2018-03-12,cust12161,245.674,web
2019-02-06,cust12161,0,other
2016-11-24,cust3507,248.04,web
2017-05-03,cust7111,187.85,web
2018-10-09,cust27396,129.012,web
2018-10-14,cust27396,129.012,store
2017-12-10,cust13848,110.019,web
2017-12-02,cust13179,124.02,web
2018-01-11,cust13179,231.504,web
2018-06-05,cust13179,197.054,web
2018-04-03,cust18015,0,web
2017-01-26,cust5215,105.3,web
2017-09-09,cust5215,210.6,web
2018-11-23,cust29484,117,web
2017-12-03,cust13269,234,web
2018-09-02,cust25421,126.074,web
2019-01-17,cust33590,348.283,store
2019-02-05,cust33590,911.833,web
2018-10-07,cust27295,129.012,store
2018-12-08,cust30880,111.15,web
2018-12-20,cust30880,114.257,web
2018-12-07,cust30784,129.012,web
2016-12-07,cust4019,234,web
2017-08-11,cust4019,234,web
2018-06-09,cust21191,468,web
2016-11-02,cust3049,125.32,web
2018-06-27,cust22025,0,web
2017-03-15,cust6105,0,web
2017-12-04,cust13350,486.72,web
2017-12-05,cust13350,0,other
2017-12-06,cust13350,0,other
2018-06-23,cust21858,274.04,web
2018-09-01,cust21858,307.489,web
2018-10-10,cust21858,307.489,web
2018-11-26,cust21858,497.25,web
2018-12-12,cust21858,174.59,web
2019-01-12,cust21858,298.35,web
2019-03-08,cust21858,523.9,web
2019-03-27,cust21858,325,web
2018-03-31,cust17933,351,web
2017-09-08,cust10252,205.4,store
2017-09-08,cust10252,487.5,store
2017-10-04,cust10252,234,web
2017-11-18,cust10252,271.83,store
2017-12-11,cust10252,0,other
2018-02-06,cust10252,335.959,web
2018-03-05,cust10252,383.5,web
2018-08-15,cust10252,79.56,store
2018-05-30,cust20512,0,other
2018-07-16,cust20512,1063.569,web
2018-09-22,cust26547,130,web
2016-11-28,cust3634,130,web
2017-08-05,cust3634,130,web
2018-05-03,cust19208,247,web
2017-11-06,cust11829,0,web
2018-04-06,cust18111,205.4,web
2018-12-14,cust18111,126.074,web
2017-11-28,cust12895,517.569,store
2018-07-12,cust12895,98.15,web
2017-08-29,cust9943,0,web
2017-09-05,cust9943,0,other
2017-09-15,cust9943,715,web
2018-05-13,cust9943,715,web
2018-10-06,cust9943,351,web
2018-07-07,cust22443,234,store
2018-05-19,cust20055,0,web
2018-02-06,cust16364,325,web
2018-12-17,cust32040,715.039,web
2019-01-11,cust32040,0,other
2019-03-05,cust35458,117,web
2017-01-15,cust5070,234,web
2018-04-07,cust18155,133.51,web
2018-04-19,cust18155,0,other
2018-03-06,cust17217,468,store
2019-02-27,cust35202,234,store
2018-09-06,cust25645,8.957,web
2018-09-06,cust25645,8.957,web
2018-11-20,cust29339,464.386,store
2018-10-10,cust27446,234,web
2018-10-17,cust27446,0,other
2018-12-04,cust30476,112.996,web
2018-07-08,cust22485,114.439,web
2018-07-11,cust22485,108.589,web
2018-07-24,cust22485,0,other
2018-12-20,cust22485,123.5,web
2016-11-09,cust3191,125.32,other
2017-03-12,cust3191,125.619,other
2017-04-20,cust3191,125.619,web
2017-12-19,cust3191,117,web
2018-07-06,cust3191,187.2,web
2018-09-22,cust3191,179.4,web
2017-06-06,cust7899,117,other
2017-06-10,cust7899,0,other
2017-06-10,cust7899,0,other
2018-09-03,cust7899,139.074,web
2018-09-04,cust7899,13.819,web
2018-04-25,cust18864,127.283,web
2018-06-13,cust21369,108.784,web
2018-08-22,cust21369,298.35,web
2019-03-19,cust36024,15.34,web
2017-11-25,cust12642,478.413,store
2017-12-15,cust12642,0,other
2018-03-21,cust17660,325,web
2018-05-16,cust17660,234,web
2018-09-03,cust25492,117,store
2018-12-14,cust31632,10.153,web
2017-05-24,cust7606,0,web
2017-06-12,cust7606,234,web
2016-08-30,cust1853,113.048,web
2016-10-15,cust1853,124.748,web
2018-07-10,cust22616,298.35,web
2018-08-23,cust22616,0,other
2018-06-04,cust20915,0,web
2018-02-11,cust16501,103.194,web
2018-03-25,cust16501,103.194,web
2019-01-17,cust33591,117,web
2018-12-16,cust31921,114.257,web
2018-10-17,cust27772,103.35,web
2019-03-27,cust36424,533,web
2018-05-08,cust19522,117,web
2019-02-24,cust19522,191.1,web
2017-02-07,cust5367,210.6,web
2017-04-17,cust5367,315.9,web
2018-08-14,cust24375,97.461,store
2017-11-19,cust12292,120.9,web
2018-11-17,cust29182,337.48,store
2018-11-28,cust29182,0,other
2019-01-24,cust29182,0,other
2019-03-20,cust29182,0,other
2019-01-03,cust33106,288.6,web
2018-06-03,cust20870,457.6,store
2017-03-11,cust6027,0,web
2018-07-25,cust23364,127.283,web
2019-02-27,cust23364,437.801,web
2017-09-06,cust10188,234,web
2016-06-17,cust883,326.3,web
2016-12-08,cust4056,109.2,web
2018-04-15,cust18442,351,web
2018-07-11,cust18442,106.639,web
2018-07-14,cust18442,0,other
2018-06-10,cust21226,113.347,web
2019-01-10,cust33342,117,web
2018-11-14,cust29050,1279.174,store
2018-01-28,cust16134,111.683,web
2016-10-18,cust2762,128.245,web
2016-11-18,cust2762,139.75,web
2017-05-16,cust7393,107.25,web
2018-12-24,cust32722,496.626,store
2018-12-26,cust32722,0,other
2017-09-19,cust10555,125.619,web
2017-02-10,cust5421,0,web
2017-02-13,cust5421,154.726,web
2017-08-20,cust5421,115.05,web
2019-02-20,cust34923,234,web
2019-02-27,cust34923,234,web
2017-12-05,cust13421,127.283,web
2018-08-31,cust25273,117,store
2019-03-23,cust36180,277.342,web
2018-07-02,cust22246,0,web
2018-10-24,cust22246,0,web
2018-12-06,cust30665,117,web
2018-11-23,cust29485,527.787,web
2019-03-09,cust29485,819,web
2017-04-06,cust6559,126.75,web
2018-10-13,cust27576,117,store
2017-08-11,cust9557,117,web
2017-11-28,cust9557,682.955,web
2017-12-04,cust9557,0,other
2017-12-04,cust9557,0,other
2017-12-04,cust9557,0,other
2018-03-22,cust9557,106.834,web
2017-09-04,cust10113,117,web
2017-09-13,cust10113,0,other
2017-09-24,cust10113,117,web
2018-06-02,cust20783,185.068,web
2016-04-10,cust432,198.9,web
2019-01-31,cust34153,291.2,web
2019-02-01,cust34183,198.9,web
2016-02-12,cust168,234,web
2016-03-16,cust168,234,web
2016-06-09,cust168,234,web
2016-07-08,cust168,234,web
2017-06-27,cust168,439.4,web
2017-09-01,cust168,439.4,web
2018-03-08,cust168,421.2,web
2018-08-13,cust168,377.52,web
2019-02-28,cust168,574.6,web
2018-08-27,cust25075,500.5,web
2018-09-03,cust25493,126.789,web
2018-12-20,cust32413,117,web
2019-03-26,cust32413,98.345,web
2018-09-12,cust26038,116.35,web
2017-06-07,cust7942,145.119,web
2017-08-01,cust7942,117,web
2018-04-02,cust17968,88.4,web
2017-04-13,cust6710,125.619,web
2017-04-19,cust6710,243.906,web
2018-06-21,cust6710,108.784,web
2017-03-18,cust6162,126.75,web
2017-06-27,cust6162,126.75,web
2018-08-06,cust23923,117,web
2018-08-22,cust24769,9.75,web
2017-08-30,cust9977,309.4,web
